animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,condition,acx_pred,ofc_pred,n_condition,n_mouse_go,n_mouse_nogo,p_mouse_go,p_mouse_nogo,n_gt_go,n_gt_nogo,p_gt_go,p_gt_nogo,stimulus,trials,n_acx_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,42.0,,1.0,,0.0,,0.0,,1.07876684098121,42.0,26.0,0.6190476190476191,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,42.0,,1.0,,0.0,,0.0,,1.1738949211927685,42.0,25.0,0.5952380952380952,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,39.0,,1.0,,0.0,,0.0,,1.27741160893374,39.0,23.0,0.5897435897435898,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,42.0,,1.0,,0.0,,0.0,,1.390056630435602,42.0,26.0,0.6190476190476191,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,9.0,,1.0,,1.64602248543222,9.0,3.0,0.3333333333333333,True,,
G5A1,16/7,(Novice) 1b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,49.0,7.0,42.0,0.14285714285714285,0.8571428571428571,31.0,18.0,0.6326530612244898,0.3673469387755102,,,,,,,
G5A1,16/7,(Novice) 1b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,28.0,5.0,23.0,0.17857142857142858,0.8214285714285714,9.0,19.0,0.32142857142857145,0.6785714285714286,,,,,,,
G5A1,16/7,(Novice) 1b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,34.0,7.0,27.0,0.20588235294117646,0.7941176470588235,18.0,16.0,0.5294117647058824,0.47058823529411764,,,,,,,
G5A1,16/7,(Novice) 1b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,39.0,11.0,28.0,0.28205128205128205,0.717948717948718,17.0,22.0,0.4358974358974359,0.5641025641025641,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,76.0,39.0,37.0,0.5131578947368421,0.4868421052631579,39.0,37.0,0.5131578947368421,0.4868421052631579,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,49.0,28.0,21.0,0.5714285714285714,0.42857142857142855,24.0,25.0,0.4897959183673469,0.5102040816326531,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,40.0,22.0,18.0,0.55,0.45,22.0,18.0,0.55,0.45,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,39.0,15.0,24.0,0.38461538461538464,0.6153846153846154,18.0,21.0,0.46153846153846156,0.5384615384615384,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,"ACx=Go, OFC=Go",1.0,1.0,110.0,48.0,62.0,0.43636363636363634,0.5636363636363636,47.0,63.0,0.42727272727272725,0.5727272727272728,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,"ACx=Go, OFC=No-Go",1.0,0.0,67.0,17.0,50.0,0.2537313432835821,0.746268656716418,32.0,35.0,0.47761194029850745,0.5223880597014925,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,74.0,23.0,51.0,0.3108108108108108,0.6891891891891891,42.0,32.0,0.5675675675675675,0.43243243243243246,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,39.0,20.0,19.0,0.5128205128205128,0.48717948717948717,24.0,15.0,0.6153846153846154,0.38461538461538464,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,1.0,,0.1,,0.0,,0.0,,1.07876684098121,10.0,,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,5.0,,0.5,,0.0,,0.0,,1.1738949211927685,10.0,,,False,6.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,5.0,,0.45454545454545453,,0.0,,0.0,,1.27741160893374,11.0,,,False,8.0,0.7272727272727273
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,3.0,,0.3,,0.0,,0.0,,1.390056630435602,10.0,,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,5.0,,0.5,,10.0,,1.0,,1.64602248543222,10.0,,,False,4.0,0.4
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,6.0,,0.5454545454545454,,11.0,,1.0,,1.7911724409886975,11.0,,,False,6.0,0.5454545454545454
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,4.0,,0.4,,10.0,,1.0,,1.9491220452647464,10.0,,,False,6.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,2.0,,0.2,,10.0,,1.0,,2.121,10.0,,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,5.0,,1.0,,0.0,,0.0,,1.1738949211927685,5.0,,,True,3.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,5.0,,1.0,,0.0,,0.0,,1.27741160893374,5.0,,,True,3.0,0.6
